Local_Body_Type,Local_Body_Name,District_Name,username,password,full_name,mobile
PANCHAYAT,Cheppad,Alappuzha,health_user26,Health@12326,Health User 26,9589479845
PANCHAYAT,Cheriyanad,Alappuzha,health_user27,Health@12327,Health User 27,9325287802
PANCHAYAT,Cherthala South,Alappuzha,health_user28,Health@12328,Health User 28,9378810859
PANCHAYAT,Cheruthana,Alappuzha,health_user29,Health@12329,Health User 29,9338786319
PANCHAYAT,Chettikulangara,Alappuzha,health_user30,Health@12330,Health User 30,9240335136
PANCHAYAT,Chingoli,Alappuzha,health_user31,Health@12331,Health User 31,9898307036
PANCHAYAT,Chunakkara,Alappuzha,health_user32,Health@12332,Health User 32,9434570369
PANCHAYAT,Devikulangara,Alappuzha,health_user33,Health@12333,Health User 33,9109663830
PANCHAYAT,Edathua,Alappuzha,health_user34,Health@12334,Health User 34,9638856457
PANCHAYAT,Ezhupunna,Alappuzha,health_user35,Health@12335,Health User 35,9590931688
PANCHAYAT,Kadakkarappally,Alappuzha,health_user36,Health@12336,Health User 36,9788322392
PANCHAYAT,Kainakary,Alappuzha,health_user37,Health@12337,Health User 37,9684409404
PANCHAYAT,Kandalloor,Alappuzha,health_user38,Health@12338,Health User 38,9329544862
PANCHAYAT,Kanjikuzhi,Alappuzha,health_user39,Health@12339,Health User 39,9376994100
PANCHAYAT,Karthikappally,Alappuzha,health_user40,Health@12340,Health User 40,9216691560
PANCHAYAT,Karuvatta,Alappuzha,health_user41,Health@12341,Health User 41,9434075513
PANCHAYAT,Kavalam,Alappuzha,health_user42,Health@12342,Health User 42,9587881862
PANCHAYAT,Kodamthuruthu,Alappuzha,health_user43,Health@12343,Health User 43,9273138785
PANCHAYAT,Krishnapuram,Alappuzha,health_user44,Health@12344,Health User 44,9794996044
PANCHAYAT,Kumarapuram,Alappuzha,health_user45,Health@12345,Health User 45,9591893693
PANCHAYAT,Kuthiathodu,Alappuzha,health_user46,Health@12346,Health User 46,9763575775
PANCHAYAT,Mannanchery,Alappuzha,health_user47,Health@12347,Health User 47,9879051075
PANCHAYAT,Mannar,Alappuzha,health_user48,Health@12348,Health User 48,9827436603
PANCHAYAT,Mararikkulam North,Alappuzha,health_user49,Health@12349,Health User 49,9925687445
PANCHAYAT,Mararikkulam South,Alappuzha,health_user50,Health@12350,Health User 50,9113309066
PANCHAYAT,Mavelikkara Thamarakkulam,Alappuzha,health_user51,Health@12351,Health User 51,9120548808
PANCHAYAT,Mavelikkara Thekkekara,Alappuzha,health_user52,Health@12352,Health User 52,9976788782
PANCHAYAT,Muhamma,Alappuzha,health_user53,Health@12353,Health User 53,9606798368
PANCHAYAT,Mulakkuzha,Alappuzha,health_user54,Health@12354,Health User 54,9667117648
PANCHAYAT,Muthukulam,Alappuzha,health_user55,Health@12355,Health User 55,9417703382
PANCHAYAT,Muttar,Alappuzha,health_user56,Health@12356,Health User 56,9826817215
PANCHAYAT,Nedumudi,Alappuzha,health_user57,Health@12357,Health User 57,9804299145
PANCHAYAT,Neelamperoor,Alappuzha,health_user58,Health@12358,Health User 58,9558185201
PANCHAYAT,Nooranad,Alappuzha,health_user59,Health@12359,Health User 59,9264265421
PANCHAYAT,Palamel,Alappuzha,health_user60,Health@12360,Health User 60,9245509336
PANCHAYAT,Pallippad,Alappuzha,health_user61,Health@12361,Health User 61,9357705014
PANCHAYAT,Panavally,Alappuzha,health_user62,Health@12362,Health User 62,9546632223
PANCHAYAT,Pandanad,Alappuzha,health_user63,Health@12363,Health User 63,9752160709
PANCHAYAT,Pathiyoor,Alappuzha,health_user64,Health@12364,Health User 64,9231528176
PANCHAYAT,Pattanakkad,Alappuzha,health_user65,Health@12365,Health User 65,9233658349
PANCHAYAT,Perumbalam,Alappuzha,health_user66,Health@12366,Health User 66,9309619444
PANCHAYAT,Pulinkunnu,Alappuzha,health_user67,Health@12367,Health User 67,9524772809
PANCHAYAT,Puliyoor,Alappuzha,health_user68,Health@12368,Health User 68,9704062664
PANCHAYAT,Punnapra (North),Alappuzha,health_user69,Health@12369,Health User 69,9321960502
PANCHAYAT,Punnapra(South),Alappuzha,health_user70,Health@12370,Health User 70,9717692144
PANCHAYAT,Purakkad,Alappuzha,health_user71,Health@12371,Health User 71,9796483843
PANCHAYAT,Ramankari,Alappuzha,health_user72,Health@12372,Health User 72,9688020893
PANCHAYAT,Thaicattussery,Alappuzha,health_user73,Health@12373,Health User 73,9327030917
PANCHAYAT,Thakazhi,Alappuzha,health_user74,Health@12374,Health User 74,9181689483
PANCHAYAT,Thalavadi,Alappuzha,health_user75,Health@12375,Health User 75,9675217331
PANCHAYAT,Thanneermukkam,Alappuzha,health_user76,Health@12376,Health User 76,9967040950
PANCHAYAT,Thazhakkara,Alappuzha,health_user77,Health@12377,Health User 77,9866454151
PANCHAYAT,Thiruvanvandur,Alappuzha,health_user78,Health@12378,Health User 78,9319089821
PANCHAYAT,Thrikkunnapuzha,Alappuzha,health_user79,Health@12379,Health User 79,9315179006
PANCHAYAT,Thuravoor,Alappuzha,health_user80,Health@12380,Health User 80,9176606080
PANCHAYAT,Vallikunnam,Alappuzha,health_user81,Health@12381,Health User 81,9930430758
PANCHAYAT,Vayalar,Alappuzha,health_user82,Health@12382,Health User 82,9862183691
PANCHAYAT,Veeyapuram,Alappuzha,health_user83,Health@12383,Health User 83,9861024089
PANCHAYAT,Veliyanad,Alappuzha,health_user84,Health@12384,Health User 84,9690246622
PANCHAYAT,Venmony,Alappuzha,health_user85,Health@12385,Health User 85,9299945922
PANCHAYAT,Localbody Name (In English),Ernakulam,health_user86,Health@12386,Health User 86,9591485890
PANCHAYAT,Ernakulam,Ernakulam,health_user87,Health@12387,Health User 87,9505936013
PANCHAYAT,Alangad,Ernakulam,health_user88,Health@12388,Health User 88,9895051933
PANCHAYAT,Angamali,Ernakulam,health_user89,Health@12389,Health User 89,9516865136
PANCHAYAT,Edappally,Ernakulam,health_user90,Health@12390,Health User 90,9121082714
PANCHAYAT,Koovappady,Ernakulam,health_user91,Health@12391,Health User 91,9782942978
PANCHAYAT,Kothamangalam,Ernakulam,health_user92,Health@12392,Health User 92,9103706536
PANCHAYAT,Mulanthuruthy,Ernakulam,health_user93,Health@12393,Health User 93,9117112980
PANCHAYAT,Muvattupuzha,Ernakulam,health_user94,Health@12394,Health User 94,9521657687
PANCHAYAT,Palluruthy,Ernakulam,health_user95,Health@12395,Health User 95,9469808974
PANCHAYAT,Pampakuda,Ernakulam,health_user96,Health@12396,Health User 96,9469041466
PANCHAYAT,Parakkadav,Ernakulam,health_user97,Health@12397,Health User 97,9153189266
PANCHAYAT,Paravur,Ernakulam,health_user98,Health@12398,Health User 98,9228108767
PANCHAYAT,Vadavucode,Ernakulam,health_user99,Health@12399,Health User 99,9527965157
PANCHAYAT,Vazhakkulam,Ernakulam,health_user100,Health@123100,Health User 100,9435433967
PANCHAYAT,Vypeen,Ernakulam,health_user101,Health@123101,Health User 101,9611152304
PANCHAYAT,Aikkaranad,Ernakulam,health_user102,Health@123102,Health User 102,9621573717
PANCHAYAT,Alangad,Ernakulam,health_user103,Health@123103,Health User 103,9275746653
PANCHAYAT,Amballur,Ernakulam,health_user104,Health@123104,Health User 104,9201284350
PANCHAYAT,Arakuzha,Ernakulam,health_user105,Health@123105,Health User 105,9213412183
PANCHAYAT,Asamannoor,Ernakulam,health_user106,Health@123106,Health User 106,9783173223
PANCHAYAT,Avoly,Ernakulam,health_user107,Health@123107,Health User 107,9450178751
PANCHAYAT,Ayavana,Ernakulam,health_user108,Health@123108,Health User 108,9835452249
PANCHAYAT,Ayyampuzha,Ernakulam,health_user109,Health@123109,Health User 109,9383639613
PANCHAYAT,Chellanam,Ernakulam,health_user110,Health@123110,Health User 110,9245152651
PANCHAYAT,Chendamangalam,Ernakulam,health_user111,Health@123111,Health User 111,9193633843
PANCHAYAT,Chengamanad,Ernakulam,health_user112,Health@123112,Health User 112,9355839285
PANCHAYAT,Cheranallur,Ernakulam,health_user113,Health@123113,Health User 113,9345959029
PANCHAYAT,Chittattukara,Ernakulam,health_user114,Health@123114,Health User 114,9900801480
PANCHAYAT,Choornikkara,Ernakulam,health_user115,Health@123115,Health User 115,9681885182
PANCHAYAT,Chottanikkara,Ernakulam,health_user116,Health@123116,Health User 116,9818899232
PANCHAYAT,Edakkattuvayal,Ernakulam,health_user117,Health@123117,Health User 117,9796590230
PANCHAYAT,Edathala,Ernakulam,health_user118,Health@123118,Health User 118,9713675881
PANCHAYAT,Edavanakkad,Ernakulam,health_user119,Health@123119,Health User 119,9633679868
PANCHAYAT,Elamkunnapuzha,Ernakulam,health_user120,Health@123120,Health User 120,9450669755
PANCHAYAT,Elanji,Ernakulam,health_user121,Health@123121,Health User 121,9505777234
PANCHAYAT,Ezhikkara,Ernakulam,health_user122,Health@123122,Health User 122,9269585768
PANCHAYAT,Kadamakkudy,Ernakulam,health_user123,Health@123123,Health User 123,9811123174
PANCHAYAT,Kadungallur,Ernakulam,health_user124,Health@123124,Health User 124,9969972183
PANCHAYAT,Kalady,Ernakulam,health_user125,Health@123125,Health User 125,9541290647
PANCHAYAT,Kalloorkkad,Ernakulam,health_user126,Health@123126,Health User 126,9769488787
PANCHAYAT,Kanjoor,Ernakulam,health_user127,Health@123127,Health User 127,9191288014
PANCHAYAT,Karukutty,Ernakulam,health_user128,Health@123128,Health User 128,9493397135
PANCHAYAT,Karumalloor,Ernakulam,health_user129,Health@123129,Health User 129,9294800153
PANCHAYAT,Kavalangad,Ernakulam,health_user130,Health@123130,Health User 130,9548791515
PANCHAYAT,Keerampara,Ernakulam,health_user131,Health@123131,Health User 131,9329918484
PANCHAYAT,Keezhmad,Ernakulam,health_user132,Health@123132,Health User 132,9105527717
PANCHAYAT,Kizhakkambalam,Ernakulam,health_user133,Health@123133,Health User 133,9589860437
PANCHAYAT,Koovappady,Ernakulam,health_user134,Health@123134,Health User 134,9177770643
PANCHAYAT,Kottappady,Ernakulam,health_user135,Health@123135,Health User 135,9187991116
PANCHAYAT,Kottuvally,Ernakulam,health_user136,Health@123136,Health User 136,9219583173
PANCHAYAT,Kumbalam,Ernakulam,health_user137,Health@123137,Health User 137,9192722561
PANCHAYAT,Kumbalangy,Ernakulam,health_user138,Health@123138,Health User 138,9202483963
PANCHAYAT,Kunnathunad,Ernakulam,health_user139,Health@123139,Health User 139,9725127868
PANCHAYAT,Kunnukara,Ernakulam,health_user140,Health@123140,Health User 140,9769253698
PANCHAYAT,Kuttampuzha,Ernakulam,health_user141,Health@123141,Health User 141,9773578341
PANCHAYAT,Kuzhuppilly,Ernakulam,health_user142,Health@123142,Health User 142,9659781111
PANCHAYAT,Malayattoor Neeleswaram,Ernakulam,health_user143,Health@123143,Health User 143,9793570350
PANCHAYAT,Maneed,Ernakulam,health_user144,Health@123144,Health User 144,9678762208
PANCHAYAT,Manjalloor,Ernakulam,health_user145,Health@123145,Health User 145,9543308717
PANCHAYAT,Manjapra,Ernakulam,health_user146,Health@123146,Health User 146,9700868748
PANCHAYAT,Marady,Ernakulam,health_user147,Health@123147,Health User 147,9573166282
PANCHAYAT,Mazhuvannoor,Ernakulam,health_user148,Health@123148,Health User 148,9817970745
PANCHAYAT,Mookkannur,Ernakulam,health_user149,Health@123149,Health User 149,9295981704
PANCHAYAT,Mudakuzha,Ernakulam,health_user150,Health@123150,Health User 150,9518392513
PANCHAYAT,Mulavukad,Ernakulam,health_user151,Health@123151,Health User 151,9764982877
PANCHAYAT,Mulumthuruthy,Ernakulam,health_user152,Health@123152,Health User 152,9682737218
PANCHAYAT,Nayarambalam,Ernakulam,health_user153,Health@123153,Health User 153,9737187186
PANCHAYAT,Nedumbassery,Ernakulam,health_user154,Health@123154,Health User 154,9384882371
PANCHAYAT,Nellikkuzhi,Ernakulam,health_user155,Health@123155,Health User 155,9829874750
PANCHAYAT,Njarakkal,Ernakulam,health_user156,Health@123156,Health User 156,9757567750
PANCHAYAT,Okkal,Ernakulam,health_user157,Health@123157,Health User 157,9735498025
PANCHAYAT,Paingottur,Ernakulam,health_user158,Health@123158,Health User 158,9109863193
PANCHAYAT,Paipra,Ernakulam,health_user159,Health@123159,Health User 159,9805287069
PANCHAYAT,Palakuzha,Ernakulam,health_user160,Health@123160,Health User 160,9967140416
PANCHAYAT,Pallarimangalam,Ernakulam,health_user161,Health@123161,Health User 161,9272478708
PANCHAYAT,Pallippuram,Ernakulam,health_user162,Health@123162,Health User 162,9969785367
PANCHAYAT,Pampakuda,Ernakulam,health_user163,Health@123163,Health User 163,9960082451
PANCHAYAT,Parakkadavu,Ernakulam,health_user164,Health@123164,Health User 164,9684688237
PANCHAYAT,Pindimana,Ernakulam,health_user165,Health@123165,Health User 165,9150697610
PANCHAYAT,Poothrikka,Ernakulam,health_user166,Health@123166,Health User 166,9973863076
PANCHAYAT,Pothanikkad,Ernakulam,health_user167,Health@123167,Health User 167,9848503792
PANCHAYAT,Puthenvelikkara,Ernakulam,health_user168,Health@123168,Health User 168,9110179212
PANCHAYAT,Ramamangalam,Ernakulam,health_user169,Health@123169,Health User 169,9245903969
PANCHAYAT,Rayamangalam,Ernakulam,health_user170,Health@123170,Health User 170,9881466370
PANCHAYAT,Sreemoolanagaram,Ernakulam,health_user171,Health@123171,Health User 171,9857336307
PANCHAYAT,Thirumarady,Ernakulam,health_user172,Health@123172,Health User 172,9800171691
PANCHAYAT,Thiruvaniyoor,Ernakulam,health_user173,Health@123173,Health User 173,9357455672
PANCHAYAT,Thuravoor,Ernakulam,health_user174,Health@123174,Health User 174,9233990717
PANCHAYAT,Udayamperur,Ernakulam,health_user175,Health@123175,Health User 175,9217550900
PANCHAYAT,Vadakkekara,Ernakulam,health_user176,Health@123176,Health User 176,9170691614
PANCHAYAT,Vadavucode Puthen Cruz,Ernakulam,health_user177,Health@123177,Health User 177,9576898323
PANCHAYAT,Valakom,Ernakulam,health_user178,Health@123178,Health User 178,9729989160
PANCHAYAT,Varappetty,Ernakulam,health_user179,Health@123179,Health User 179,9133183008
PANCHAYAT,Varapuzha,Ernakulam,health_user180,Health@123180,Health User 180,9458134889
PANCHAYAT,Vazhakkulam,Ernakulam,health_user181,Health@123181,Health User 181,9627156117
PANCHAYAT,Vengola,Ernakulam,health_user182,Health@123182,Health User 182,9813027181
PANCHAYAT,Vengoor,Ernakulam,health_user183,Health@123183,Health User 183,9337571765
PANCHAYAT,Localbody Name (In English),Idukki,health_user184,Health@123184,Health User 184,9929141010
PANCHAYAT,Idukki,Idukki,health_user185,Health@123185,Health User 185,9334066386
PANCHAYAT,Adimaly,Idukki,health_user186,Health@123186,Health User 186,9201035605
PANCHAYAT,Azhutha,Idukki,health_user187,Health@123187,Health User 187,9829815705
PANCHAYAT,Devikulam,Idukki,health_user188,Health@123188,Health User 188,9134564622
PANCHAYAT,Elemdesam,Idukki,health_user189,Health@123189,Health User 189,9171584379
PANCHAYAT,Idukki,Idukki,health_user190,Health@123190,Health User 190,9120469186
PANCHAYAT,Kattappana,Idukki,health_user191,Health@123191,Health User 191,9267619798
PANCHAYAT,Nedumkandom,Idukki,health_user192,Health@123192,Health User 192,9320584623
PANCHAYAT,Thodupuzha,Idukki,health_user193,Health@123193,Health User 193,9596778691
PANCHAYAT,Adimaly,Idukki,health_user194,Health@123194,Health User 194,9800078459
PANCHAYAT,Alakkode,Idukki,health_user195,Health@123195,Health User 195,9798592364
PANCHAYAT,Arakulam,Idukki,health_user196,Health@123196,Health User 196,9596682283
PANCHAYAT,Ayyappancoil,Idukki,health_user197,Health@123197,Health User 197,9946690566
PANCHAYAT,Bisonvalley,Idukki,health_user198,Health@123198,Health User 198,9266861853
PANCHAYAT,Chakkupallam,Idukki,health_user199,Health@123199,Health User 199,9615838680
PANCHAYAT,Chinnakanal,Idukki,health_user200,Health@123200,Health User 200,9139055867
PANCHAYAT,Devikulam,Idukki,health_user201,Health@123201,Health User 201,9707865420
PANCHAYAT,Edamalakkudy,Idukki,health_user202,Health@123202,Health User 202,9420142161
PANCHAYAT,Edavetty,Idukki,health_user203,Health@123203,Health User 203,9922794873
PANCHAYAT,Elappara,Idukki,health_user204,Health@123204,Health User 204,9992804810
PANCHAYAT,Erattayar,Idukki,health_user205,Health@123205,Health User 205,9981712239
PANCHAYAT,Idukki - Kanjikuzhy,Idukki,health_user206,Health@123206,Health User 206,9334343177
PANCHAYAT,Kamakshy,Idukki,health_user207,Health@123207,Health User 207,9864328240
PANCHAYAT,Kanchiyar,Idukki,health_user208,Health@123208,Health User 208,9753895811
PANCHAYAT,Kanthalloor,Idukki,health_user209,Health@123209,Health User 209,9940675201
PANCHAYAT,Karimannoor,Idukki,health_user210,Health@123210,Health User 210,9565353751
PANCHAYAT,Karimkunnam,Idukki,health_user211,Health@123211,Health User 211,9466340951
PANCHAYAT,Karunapuram,Idukki,health_user212,Health@123212,Health User 212,9998109195
PANCHAYAT,Kodikulam,Idukki,health_user213,Health@123213,Health User 213,9728522119
PANCHAYAT,Kokkayar,Idukki,health_user214,Health@123214,Health User 214,9382288549
PANCHAYAT,Konnathady,Idukki,health_user215,Health@123215,Health User 215,9785067555
PANCHAYAT,Kudayathoor,Idukki,health_user216,Health@123216,Health User 216,9859723958
PANCHAYAT,Kumaly,Idukki,health_user217,Health@123217,Health User 217,9908505654
PANCHAYAT,Kumaramangalam,Idukki,health_user218,Health@123218,Health User 218,9118937057
PANCHAYAT,Manakkad,Idukki,health_user219,Health@123219,Health User 219,9339372805
PANCHAYAT,Mankulam,Idukki,health_user220,Health@123220,Health User 220,9592811447
PANCHAYAT,Marayoor,Idukki,health_user221,Health@123221,Health User 221,9617305241
PANCHAYAT,Mariyapuram,Idukki,health_user222,Health@123222,Health User 222,9689788003
PANCHAYAT,Munnar,Idukki,health_user223,Health@123223,Health User 223,9864526691
PANCHAYAT,Muttom,Idukki,health_user224,Health@123224,Health User 224,9402339873
PANCHAYAT,Nedumkandam,Idukki,health_user225,Health@123225,Health User 225,9958911224
PANCHAYAT,Pallivasal,Idukki,health_user226,Health@123226,Health User 226,9730534930
PANCHAYAT,Pampadumpara,Idukki,health_user227,Health@123227,Health User 227,9483602433
PANCHAYAT,Peerumedu,Idukki,health_user228,Health@123228,Health User 228,9678832828
PANCHAYAT,Peruvanthanam,Idukki,health_user229,Health@123229,Health User 229,9367580400
PANCHAYAT,Purapuzha,Idukki,health_user230,Health@123230,Health User 230,9945820857
PANCHAYAT,Rajakkad,Idukki,health_user231,Health@123231,Health User 231,9837753162
PANCHAYAT,Rajakumari,Idukki,health_user232,Health@123232,Health User 232,9655575307
PANCHAYAT,Santhanpara,Idukki,health_user233,Health@123233,Health User 233,9319670011
PANCHAYAT,Senapathy,Idukki,health_user234,Health@123234,Health User 234,9226693838
PANCHAYAT,Udumbanchola,Idukki,health_user235,Health@123235,Health User 235,9866511534
PANCHAYAT,Udumbanoor,Idukki,health_user236,Health@123236,Health User 236,9763217709
PANCHAYAT,Upputhara,Idukki,health_user237,Health@123237,Health User 237,9197926914
PANCHAYAT,Vandenmedu,Idukki,health_user238,Health@123238,Health User 238,9745494706
PANCHAYAT,Vandiperiyar,Idukki,health_user239,Health@123239,Health User 239,9945625370
PANCHAYAT,Vannapuram,Idukki,health_user240,Health@123240,Health User 240,9343147726
PANCHAYAT,Vathikudy,Idukki,health_user241,Health@123241,Health User 241,9853507268
PANCHAYAT,Vattavada,Idukki,health_user242,Health@123242,Health User 242,9506511232
PANCHAYAT,Vazhathope,Idukki,health_user243,Health@123243,Health User 243,9283934489
PANCHAYAT,Vellathooval,Idukki,health_user244,Health@123244,Health User 244,9807024175
PANCHAYAT,Velliyamattom,Idukki,health_user245,Health@123245,Health User 245,9477331147
PANCHAYAT,Localbody Name (In English),Kannur,health_user246,Health@123246,Health User 246,9313759073
PANCHAYAT,Kannur,Kannur,health_user247,Health@123247,Health User 247,9863415658
PANCHAYAT,Edakkad,Kannur,health_user248,Health@123248,Health User 248,9364903434
PANCHAYAT,Irikkur,Kannur,health_user249,Health@123249,Health User 249,9557955331
PANCHAYAT,Iritty,Kannur,health_user250,Health@123250,Health User 250,9665247218
PANCHAYAT,Kalliasseri,Kannur,health_user251,Health@123251,Health User 251,9998793103
PANCHAYAT,Kannur,Kannur,health_user252,Health@123252,Health User 252,9673664259
PANCHAYAT,Kuthuparamba,Kannur,health_user253,Health@123253,Health User 253,9445477246
PANCHAYAT,Panoor,Kannur,health_user254,Health@123254,Health User 254,9186775531
PANCHAYAT,Payyannur,Kannur,health_user255,Health@123255,Health User 255,9223982656
PANCHAYAT,Peravoor,Kannur,health_user256,Health@123256,Health User 256,9378308621
PANCHAYAT,Taliparamba,Kannur,health_user257,Health@123257,Health User 257,9494040195
PANCHAYAT,Thalassery,Kannur,health_user258,Health@123258,Health User 258,9915717278
PANCHAYAT,Alakode,Kannur,health_user259,Health@123259,Health User 259,9541637725
PANCHAYAT,Ancharakandy,Kannur,health_user260,Health@123260,Health User 260,9131379151
PANCHAYAT,Aralam,Kannur,health_user261,Health@123261,Health User 261,9615134863
PANCHAYAT,Ayyankunnu,Kannur,health_user262,Health@123262,Health User 262,9661586292
PANCHAYAT,Azhikode,Kannur,health_user263,Health@123263,Health User 263,9763813740
PANCHAYAT,Chapparapadavu,Kannur,health_user264,Health@123264,Health User 264,9636563609
PANCHAYAT,Chembilode,Kannur,health_user265,Health@123265,Health User 265,9138256462
PANCHAYAT,Chengalai,Kannur,health_user266,Health@123266,Health User 266,9994719663
PANCHAYAT,Cherukunnu,Kannur,health_user267,Health@123267,Health User 267,9848375887
PANCHAYAT,Cherupuzha,Kannur,health_user268,Health@123268,Health User 268,9315052543
PANCHAYAT,Cheruthazham,Kannur,health_user269,Health@123269,Health User 269,9663530650
PANCHAYAT,Chirakkal,Kannur,health_user270,Health@123270,Health User 270,9708677263
PANCHAYAT,Chittariparamba,Kannur,health_user271,Health@123271,Health User 271,9970958180
PANCHAYAT,Chokli,Kannur,health_user272,Health@123272,Health User 272,9773880781
PANCHAYAT,Dharmadam,Kannur,health_user273,Health@123273,Health User 273,9374570975
PANCHAYAT,Eramam -Kuttoor,Kannur,health_user274,Health@123274,Health User 274,9750170984
PANCHAYAT,Eranholi,Kannur,health_user275,Health@123275,Health User 275,9656005756
PANCHAYAT,Eruvessey,Kannur,health_user276,Health@123276,Health User 276,9516330431
PANCHAYAT,Ezhome,Kannur,health_user277,Health@123277,Health User 277,9833793087
PANCHAYAT,Irikkur,Kannur,health_user278,Health@123278,Health User 278,9917711197
PANCHAYAT,Kadamboor,Kannur,health_user279,Health@123279,Health User 279,9521279354
PANCHAYAT,Kadannapally -Panapuzha,Kannur,health_user280,Health@123280,Health User 280,9761026972
PANCHAYAT,Kadirur,Kannur,health_user281,Health@123281,Health User 281,9468115299
PANCHAYAT,Kalliassery,Kannur,health_user282,Health@123282,Health User 282,9515626611
PANCHAYAT,Kanichar,Kannur,health_user283,Health@123283,Health User 283,9916233460
PANCHAYAT,Kankole- Alapadamba,Kannur,health_user284,Health@123284,Health User 284,9590768067
PANCHAYAT,Kannapuram,Kannur,health_user285,Health@123285,Health User 285,9365091928
PANCHAYAT,Karivellur -Peralam,Kannur,health_user286,Health@123286,Health User 286,9895488405
PANCHAYAT,Keezhallur,Kannur,health_user287,Health@123287,Health User 287,9584589105
PANCHAYAT,Kelakam,Kannur,health_user288,Health@123288,Health User 288,9140119960
PANCHAYAT,Kolacherry,Kannur,health_user289,Health@123289,Health User 289,9921966930
PANCHAYAT,Kolayad,Kannur,health_user290,Health@123290,Health User 290,9693277951
PANCHAYAT,Koodali,Kannur,health_user291,Health@123291,Health User 291,9902106057
PANCHAYAT,Kottayam,Kannur,health_user292,Health@123292,Health User 292,9680464056
PANCHAYAT,Kottiyoor,Kannur,health_user293,Health@123293,Health User 293,9763432976
PANCHAYAT,Kunhimangalam,Kannur,health_user294,Health@123294,Health User 294,9456116698
PANCHAYAT,Kunnathuparamba,Kannur,health_user295,Health@123295,Health User 295,9738917262
PANCHAYAT,Kurumathur,Kannur,health_user296,Health@123296,Health User 296,9314778007
PANCHAYAT,Kuttiattor,Kannur,health_user297,Health@123297,Health User 297,9999998611
PANCHAYAT,Madayi,Kannur,health_user298,Health@123298,Health User 298,9679620102
PANCHAYAT,Malapattom,Kannur,health_user299,Health@123299,Health User 299,9916661133
PANCHAYAT,Malur,Kannur,health_user300,Health@123300,Health User 300,9430171339
PANCHAYAT,Mangattidom,Kannur,health_user301,Health@123301,Health User 301,9973296436
PANCHAYAT,Mattool,Kannur,health_user302,Health@123302,Health User 302,9333971849
PANCHAYAT,Mayyil,Kannur,health_user303,Health@123303,Health User 303,9762864233
PANCHAYAT,Mokeri,Kannur,health_user304,Health@123304,Health User 304,9734527669
PANCHAYAT,Munderi,Kannur,health_user305,Health@123305,Health User 305,9430073118
PANCHAYAT,Muzhakkunnu,Kannur,health_user306,Health@123306,Health User 306,9229221934
PANCHAYAT,Muzhappilangad,Kannur,health_user307,Health@123307,Health User 307,9999461835
PANCHAYAT,Naduvil,Kannur,health_user308,Health@123308,Health User 308,9859490916
PANCHAYAT,Narath,Kannur,health_user309,Health@123309,Health User 309,9942611050
PANCHAYAT,New Mahi,Kannur,health_user310,Health@123310,Health User 310,9502334651
PANCHAYAT,Padiyur,Kannur,health_user311,Health@123311,Health User 311,9324398945
PANCHAYAT,Panniyannur,Kannur,health_user312,Health@123312,Health User 312,9910041552
PANCHAYAT,Pappinisseri,Kannur,health_user313,Health@123313,Health User 313,9847695855
